date,pm25,pm10,o3,no2,so2,co
2020-01-01,88.0,49.0,5.0,14.0,2.0,3.0
2020-01-02,89.0,68.0,9.0,19.0,6.0,13.0
2020-01-03,123.0,74.0,11.0,18.0,4.0,14.0
2020-01-04,137.0,49.0,7.0,12.0,3.0,6.0
2020-01-05,95.0,55.0,4.0,19.0,8.0,9.0
2020-01-06,92.0,69.0,19.0,26.0,4.0,10.0
2020-01-07,127.0,71.0,19.0,17.0,1.0,4.0
2020-01-08,124.0,57.0,15.0,15.0,9.0,2.0
2020-01-09,113.0,49.0,22.0,21.0,7.0,4.0
2020-01-10,76.0,57.0,30.0,26.0,6.0,11.0
2020-01-11,88.0,66.0,36.0,23.0,1.0,10.0
2020-01-12,740.0,74.0,20.0,41.0,16.0,19.0
2020-01-13,333.0,78.0,30.0,27.0,10.0,14.0
2020-01-14,128.0,75.0,24.0,19.0,4.0,8.0
2020-01-15,128.0,64.0,14.0,18.0,2.0,10.0
2020-01-16,121.0,61.0,18.0,17.0,2.0,6.0
2020-01-17,102.0,58.0,16.0,14.0,2.0,8.0
2020-01-18,102.0,58.0,14.0,9.0,2.0,2.0
2020-01-19,277.0,53.0,16.0,15.0,9.0,11.0
2020-01-20,283.0,76.0,19.0,19.0,2.0,15.0
2020-01-21,135.0,74.0,14.0,29.0,1.0,13.0
2020-01-22,124.0,60.0,14.0,14.0,2.0,2.0
2020-01-23,198.0,49.0,34.0,26.0,4.0,11.0
2020-01-24,221.0,65.0,27.0,27.0,3.0,8.0
2020-01-25,115.0,47.0,19.0,23.0,6.0,7.0
2020-01-26,85.0,51.0,23.0,27.0,3.0,9.0
2020-01-27,88.0,53.0,12.0,25.0,2.0,5.0
2020-01-28,107.0,44.0,20.0,17.0,3.0,3.0
2020-01-29,73.0,40.0,22.0,16.0,9.0,3.0
2020-01-30,58.0,43.0,37.0,23.0,4.0,8.0
2020-01-31,90.0,53.0,32.0,20.0,3.0,4.0
2020-02-01,83.0,46.0,35.0,18.0,6.0,3.0
2020-02-02,62.0,58.0,18.0,23.0,7.0,6.0
2020-02-03,419.0,68.0,10.0,21.0,3.0,5.0
2020-02-04,133.0,64.0,3.0,26.0,9.0,12.0
2020-02-05,120.0,55.0,14.0,15.0,8.0,3.0
2020-02-06,105.0,50.0,11.0,13.0,6.0,2.0
2020-02-07,107.0,50.0,22.0,12.0,2.0,2.0
2020-02-08,103.0,46.0,30.0,12.0,1.0,1.0
2020-02-09,88.0,52.5,28.5,22.0,5.5,6.5
2020-02-10,104.0,73.0,43.0,32.0,10.0,14.0
2020-02-11,137.0,59.0,34.0,22.0,5.0,7.0
2020-02-12,119.0,49.0,31.0,23.0,2.0,11.0
2020-02-13,100.0,34.0,21.0,15.0,2.0,2.0
2020-02-14,66.0,57.0,37.0,30.0,8.0,13.0
2020-02-15,106.0,49.0,39.0,18.0,9.0,1.0
2020-02-16,99.0,97.0,5.0,48.0,8.0,30.0
2020-02-17,130.0,45.0,42.0,24.0,8.0,9.0
2020-02-18,79.0,50.0,34.0,23.0,5.0,8.0
2020-02-19,91.0,53.0,19.0,22.0,4.0,5.0
2020-02-20,105.0,52.0,15.0,14.0,2.0,5.0
2020-02-21,104.0,54.0,24.0,22.0,5.0,9.0
2020-02-22,101.0,47.0,27.0,15.0,4.0,3.0
2020-02-23,97.0,50.0,23.0,18.0,5.0,7.0
2020-02-24,104.0,50.0,33.0,17.0,5.0,5.0
2020-02-25,99.0,42.0,33.0,25.0,19.0,7.0
2020-02-26,77.0,58.0,15.0,42.0,32.0,9.0
2020-02-27,105.0,62.0,40.0,29.0,8.0,10.0
2020-02-28,118.0,58.0,37.0,24.0,8.0,9.0
2020-02-29,111.0,55.0,34.0,19.0,5.0,4.0
2020-03-01,106.0,57.0,30.0,22.0,5.0,9.0
2020-03-02,86.0,57.0,30.0,26.0,4.0,8.0
2020-03-03,112.0,49.0,41.0,18.0,5.0,4.0
2020-03-04,78.0,61.0,30.0,32.0,13.0,14.0
2020-03-05,96.0,54.0,22.0,25.0,2.0,6.0
2020-03-06,79.0,173.0,22.0,22.0,4.0,7.0
2020-03-07,100.0,57.0,35.0,13.0,2.0,2.0
2020-03-08,75.0,40.0,30.0,19.0,2.0,4.0
2020-03-09,75.0,40.0,30.0,19.0,2.0,4.0
2020-03-10,75.0,46.0,8.0,31.0,2.0,14.0
2020-03-11,80.0,35.0,23.0,19.0,2.0,5.0
2020-03-12,70.0,35.0,7.0,12.0,2.0,2.0
2020-03-13,72.0,40.0,30.0,19.0,2.0,4.0
2020-03-14,75.0,40.0,30.0,19.0,2.0,4.0
2020-03-15,75.0,46.0,36.0,30.0,2.0,10.0
2020-03-16,104.0,49.0,34.0,18.0,2.0,7.0
2020-03-17,82.0,46.0,16.0,22.0,2.0,6.0
2020-03-18,79.0,40.0,27.0,22.0,2.0,9.0
2020-03-19,73.0,41.0,33.0,19.0,1.0,9.0
2020-03-20,78.0,40.0,34.0,16.0,2.0,4.0
2020-03-21,75.0,39.0,28.0,11.0,2.0,2.0
2020-03-22,67.0,42.0,36.0,27.0,2.0,3.0
2020-03-23,72.0,39.0,25.0,14.0,2.0,2.0
2020-03-24,72.0,35.0,30.0,55.0,2.0,8.0
2020-03-25,59.0,36.0,26.0,39.0,2.0,2.0
2020-03-26,63.0,38.0,24.0,11.0,2.0,2.0
2020-03-27,74.0,34.0,28.0,12.0,1.0,2.0
2020-03-28,69.0,33.0,30.0,9.0,2.0,2.0
2020-03-29,66.0,29.0,27.0,11.0,2.0,3.0
2020-03-30,60.0,28.0,33.0,8.0,2.0,2.0
2020-03-31,57.0,30.0,33.0,9.0,2.0,2.0
2020-04-01,57.0,42.0,39.0,7.0,1.0,2.0
2020-04-02,73.0,48.0,38.0,5.0,1.0,2.0
2020-04-03,75.0,45.0,36.0,5.0,1.0,2.0
2020-04-04,81.0,30.0,35.0,23.0,1.0,15.0
2020-04-05,64.0,17.0,29.0,8.0,1.0,30.0
2020-04-06,79.0,39.0,41.0,5.0,1.0,3.0
2020-04-07,79.0,37.0,13.0,9.0,1.0,4.0
2020-04-08,60.0,48.0,45.0,11.0,1.0,5.0
2020-04-09,78.0,46.0,39.0,8.0,1.0,3.0
2020-04-10,74.0,42.0,41.0,9.0,1.0,3.0
2020-04-11,68.0,50.0,41.0,7.0,1.0,3.0
2020-04-12,74.0,52.0,38.0,10.0,1.0,5.0
2020-04-13,84.0,47.0,41.0,7.0,1.0,3.0
2020-04-14,75.0,44.0,45.0,8.0,1.0,3.0
2020-04-15,73.0,38.0,35.0,10.0,1.0,4.0
2020-04-16,67.0,49.0,36.0,9.0,1.0,4.0
2020-04-17,88.0,54.0,43.0,8.0,1.0,4.0
2020-04-18,91.0,31.0,31.0,7.0,1.0,2.0
2020-04-19,65.0,33.0,21.0,6.0,1.0,2.0
2020-04-20,65.0,28.0,30.0,7.0,1.0,3.0
2020-04-21,57.0,45.0,43.0,8.0,1.0,3.0
2020-04-22,82.0,43.0,34.0,10.0,1.0,4.0
2020-04-23,75.0,44.0,30.0,9.0,1.0,4.0
2020-04-24,71.0,29.0,32.0,6.0,1.0,2.0
2020-04-25,52.0,43.0,34.0,5.0,1.0,3.0
2020-04-26,53.0,39.0,32.0,7.0,1.0,2.0
2020-04-27,69.0,26.0,34.0,8.0,1.0,3.0
2020-04-28,59.0,33.0,34.0,11.0,1.0,3.0
2020-04-29,68.0,47.0,37.0,10.0,1.0,5.0
2020-04-30,87.0,46.0,33.0,10.0,1.0,4.0
2020-05-01,95.0,46.0,45.0,13.0,1.0,4.0
2020-05-02,105.0,37.0,36.0,9.0,1.0,3.0
2020-05-03,95.0,37.0,31.0,11.0,1.0,3.0
2020-05-04,70.0,39.0,38.0,7.0,1.0,3.0
2020-05-05,82.0,32.0,36.0,8.0,1.0,3.0
2020-05-06,71.0,26.0,30.0,6.0,1.0,2.0
2020-05-07,64.0,30.0,33.0,6.0,1.0,2.0
2020-05-08,76.0,30.0,36.0,7.0,1.0,2.0
2020-05-09,70.0,29.0,37.0,5.0,1.0,1.0
2020-05-10,55.0,18.0,42.0,7.0,1.0,2.0
2020-05-11,47.0,29.0,41.0,9.0,1.0,3.0
2020-05-12,66.0,32.0,35.0,7.0,1.0,2.0
2020-05-13,66.0,28.0,39.0,9.0,1.0,3.0
2020-05-14,67.0,31.0,36.0,8.0,1.0,3.0
2020-05-15,63.0,31.0,38.0,6.0,1.0,2.0
2020-05-16,71.0,32.0,40.0,8.0,3.0,3.0
2020-05-17,64.0,29.0,40.0,8.0,1.0,2.0
2020-05-18,64.0,31.0,43.0,10.0,1.0,3.0
2020-05-19,71.0,43.0,42.0,9.0,1.0,3.0
2020-05-20,72.0,36.0,45.0,10.0,1.0,3.0
2020-05-21,67.0,40.0,35.0,11.0,1.0,3.0
2020-05-22,72.0,46.0,35.0,9.0,1.0,3.0
2020-05-23,73.0,36.0,36.0,10.0,1.0,3.0
2020-05-24,68.0,38.0,36.0,10.0,1.0,3.0
2020-05-25,73.0,37.0,32.0,11.0,1.0,3.0
