datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations,source,name
2020-01-01,20.0,14.0,16.8,20.0,14.0,16.8,14.5,86.7,11.7,100,87.5,rain,0,0,30.6,13.0,58.6,1017.7,62.3,1.9,68.9,5.9,3,06:50:53,17:42:59,0.19,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-02,18.0,14.0,16.3,18.0,14.0,16.3,15.0,92.4,36.6,100,62.5,rain,0,0,42.1,14.8,53.9,1018.6,58.9,1.9,80.9,6.9,4,06:51:13,17:43:36,0.23,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-03,23.0,16.0,18.5,23.0,16.0,18.5,15.9,85.4,0.0,0,0.0,,0,0,16.9,9.4,61.5,1017.0,50.6,2.0,128.3,11.1,5,06:51:31,17:44:14,0.25,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-04,22.0,15.0,18.1,22.0,15.0,18.1,15.9,87.7,0.3,100,12.5,rain,0,0,19.8,11.2,60.2,1015.8,44.6,2.0,130.9,11.3,6,06:51:48,17:44:52,0.29,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-05,23.0,13.5,17.6,23.0,13.5,17.6,10.7,66.1,0.0,0,0.0,,0,0,28.8,14.8,27.6,1017.6,2.2,3.1,203.6,17.7,8,06:52:04,17:45:31,0.32,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-06,23.0,9.0,16.8,23.0,9.0,16.8,10.0,66.6,0.0,0,0.0,,0,0,24.8,13.0,66.6,1019.0,2.1,3.9,204.4,17.6,7,06:52:19,17:46:10,0.35,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-07,24.0,13.0,18.8,24.0,13.0,18.8,12.3,67.7,0.0,0,0.0,,0,0,15.1,5.4,55.1,1016.7,43.5,3.0,164.1,14.1,6,06:52:32,17:46:50,0.39,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-08,20.0,17.0,18.3,20.0,17.0,18.3,16.2,88.0,15.5,100,58.33,rain,0,0,31.7,7.6,41.5,1014.3,54.4,1.8,63.0,5.5,3,06:52:45,17:47:30,0.42,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-09,24.0,16.0,19.5,24.0,16.0,19.5,14.8,76.0,0.2,100,8.33,rain,0,0,27.7,13.0,21.4,1016.1,26.7,2.1,175.0,15.0,6,06:52:56,17:48:10,0.45,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-10,23.0,11.0,16.0,23.0,11.0,16.0,7.2,57.3,0.0,0,0.0,,0,0,25.9,11.2,43.2,1018.4,0.0,3.5,212.3,18.3,8,06:53:05,17:48:50,0.48,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-11,23.0,7.0,15.0,23.0,7.0,15.0,6.6,59.9,0.0,0,0.0,,0,0,20.2,11.2,49.1,1019.0,0.0,3.5,214.9,18.5,8,06:53:14,17:49:31,0.5,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-12,25.2,9.0,16.4,25.2,9.0,16.3,6.6,58.4,0.0,0,0.0,,0,0,16.2,7.6,34.9,1016.9,0.0,3.6,212.5,18.4,8,06:53:21,17:50:11,0.55,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-13,28.1,10.0,18.1,26.7,10.0,17.9,7.0,55.7,0.0,0,0.0,,0,0,16.6,7.6,106.2,1013.9,0.0,4.3,212.6,18.3,8,06:53:27,17:50:52,0.59,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-14,27.0,11.0,19.1,26.7,11.0,19.0,10.6,61.5,0.0,0,0.0,,0,0,15.5,7.6,91.3,1013.8,0.0,3.3,206.0,17.9,8,06:53:31,17:51:33,0.62,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-15,27.0,12.0,19.9,27.5,12.0,19.9,14.7,73.7,0.0,0,0.0,,0,0,23.0,9.4,95.7,1014.5,20.2,3.0,194.7,16.7,7,06:53:34,17:52:14,0.66,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-16,26.0,15.0,20.6,26.0,15.0,20.6,14.8,71.4,0.0,0,0.0,,0,0,31.0,16.6,171.8,1013.8,13.3,3.0,178.4,15.2,7,06:53:36,17:52:55,0.69,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-17,25.0,17.0,21.0,25.0,17.0,21.0,15.4,70.8,0.0,0,0.0,,0,0,18.0,11.2,3.5,1015.0,42.2,2.9,153.1,13.2,5,06:53:37,17:53:36,0.75,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-18,25.0,17.0,20.5,25.0,17.0,20.5,16.4,78.1,0.2,100,8.33,rain,0,0,23.0,11.2,44.6,1015.5,40.2,2.7,147.9,12.8,6,06:53:36,17:54:17,0.76,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
2020-01-19,23.0,16.0,19.1,23.0,16.0,19.1,15.6,80.6,0.1,100,4.17,rain,0,0,28.1,14.8,39.5,1016.7,40.0,2.2,141.9,12.2,5,06:53:34,17:54:57,0.8,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
